seq_len,model,peak_memory_mb,elapsed_ms
256,talh_full,146.379896,73.56870896182954
512,talh_full,173.953956,105.03749997587875
1024,talh_full,289.94372,178.29604202415794
2048,talh_full,409.399416,337.04495802521706
4096,talh_full,831.222924,720.2710420242511
