step,train_loss,aux_loss,val_loss,lr,elapsed_sec,seq_len,gpu_mem_gb
1000,6.349833,-0.249232,6.706481,9.33e-05,3770.7,256,13.17
2000,6.319656,-0.248992,6.336291,5.87e-05,7606.8,256,13.17
3000,5.980538,-0.249254,5.934926,1.79e-05,11483.6,512,16.16
4000,6.115602,-0.248763,5.752748,0.00e+00,15612.0,512,16.2
