step,train_loss,aux_loss,val_loss,lr,elapsed_sec,seq_len,gpu_mem_gb
1000,6.182551,-0.249115,6.571698,9.33e-05,15470.5,256,19.35
2000,6.129954,-0.248682,6.11739,5.87e-05,30973.0,256,19.35
3000,5.656305,-0.249184,5.634417,1.79e-05,46385.9,512,27.86
4000,5.930142,-0.248545,5.480221,0.00e+00,73915.8,512,27.88
5000,5.170391,-0.248612,5.162144,2.10e-05,5581.1,1024,28.73
6000,5.386039,-0.248332,5.106153,5.56e-06,103775.7,1024,28.75
7000,5.337531,-0.248609,5.093127,0.00e+00,203183.5,1024,28.75
