step,train_loss,aux_loss,val_loss,lr,elapsed_sec,seq_len,gpu_mem_gb
1000,6.30398,0.0,6.626368,9.33e-05,499.4,256,3.57
2000,6.146461,0.0,6.144874,5.87e-05,1010.6,256,3.57
3000,5.896364,0.0,5.789889,1.79e-05,1517.5,512,5.36
4000,5.938641,0.0,5.572152,0.00e+00,2077.1,512,5.36
