step,train_loss,aux_loss,val_loss,lr,elapsed_sec,seq_len,gpu_mem_gb
1000,6.176096,-0.249045,6.543727,9.33e-05,14255.2,256,16.32
2000,6.089027,-0.248754,6.073989,5.87e-05,28546.0,256,16.32
3000,5.612256,-0.24921,5.594043,1.79e-05,43087.2,512,23.99
4000,5.814978,-0.248628,5.443112,0.00e+00,69372.8,512,24.01
5000,5.261227,-0.248544,5.273294,2.10e-05,49150.3,1024,24.86
6000,5.293981,-0.248486,5.093295,5.56e-06,143652.0,1024,24.88
7000,5.259711,-0.248777,5.074221,0.00e+00,237884.7,1024,24.88
